Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fjbl-t26c-on-ear-headphone-black%2F17051059%3Fsc_cid%3Dalpha-radios%7Csearch_JBL%2520earphones%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fmshop.rediff.com%2Fproduct%2F99-store%2FBuy-2-Get-2-Free-snaptic-Led-Sports-Digital-Jelly-Watch%2F15986210%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F11925782%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F13934207%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F16895564%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F16895590%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F16911878%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F16911882%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Freebok-gym-duffle-bag-and-reebok-sunglasses-with-free-reebok-watch%2F16031099%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F15967042%3Fsc_cid%3Dpayoom
